index,time,ph_A,ph_B,ph_C
0,0,0,-0.866026288,0.866023635
1,0.0314159,0.031410733,-0.881304275,0.849890843
2,0.0628318,0.062790467,-0.895712523,0.832919312
3,0.0942477,0.094108234,-0.909236812,0.815125792
4,0.1256636,0.125333128,-0.921863796,0.796527843
5,0.1570795,0.156434334,-0.933581013,0.777143818
6,0.1884954,0.187381158,-0.9443769,0.756992848
7,0.2199113,0.21814306,-0.954240802,0.736094818
8,0.2513272,0.248689682,-0.963162985,0.714470353
9,0.2827431,0.278990877,-0.971134645,0.692140793
10,0.314159,0.309016742,-0.978147913,0.669128174
11,0.3455749,0.338737646,-0.98419587,0.645455208
12,0.3769908,0.368124257,-0.989272545,0.621145257
13,0.4084067,0.397147574,-0.993372929,0.596222311
14,0.4398226,0.425778955,-0.996492976,0.570710967
15,0.4712385,0.453990145,-0.998629607,0.544636402
16,0.5026544,0.481753302,-0.999780712,0.518024346
17,0.5340703,0.509041027,-0.999945156,0.490901064
18,0.5654862,0.535826392,-0.999122776,0.463293323
19,0.5969021,0.562082961,-0.997314385,0.435228368
20,0.628318,0.587784823,-0.994521766,0.406733896
21,0.6597339,0.612906613,-0.990747676,0.377838027
22,0.6911498,0.63742354,-0.985995839,0.348569278
23,0.7225657,0.661311408,-0.980270946,0.318956534
24,0.7539816,0.684546642,-0.973578644,0.28902902
25,0.7853975,0.707106312,-0.96592554,0.258816268
26,0.8168134,0.728968155,-0.957319186,0.228348097
27,0.8482293,0.750110596,-0.947768074,0.197654574
28,0.8796452,0.770512769,-0.937281632,0.166765991
29,0.9110611,0.790154541,-0.925870207,0.135712829
30,0.942477,0.809016526,-0.913545062,0.104525736
31,0.9738929,0.827080112,-0.900318359,0.073235489
32,1.0053088,0.844327471,-0.886203153,0.041872967
33,1.0367247,0.860741581,-0.871213373,0.010469122
34,1.0681406,0.876306245,-0.855363811,-0.020945055
35,1.0995565,0.891006103,-0.83867011,-0.052338562
36,1.1309724,0.904826646,-0.821148745,-0.083680417
37,1.1623883,0.917754236,-0.802817006,-0.11493969
38,1.1938042,0.929776115,-0.783692985,-0.146085531
39,1.2252201,0.940880418,-0.763795555,-0.177087204
40,1.256636,0.951056188,-0.743144352,-0.207914113
41,1.2880519,0.960293382,-0.721759757,-0.238535837
42,1.3194678,0.968582884,-0.699662873,-0.268922155
43,1.3508837,0.975916513,-0.676875507,-0.29904308
44,1.3822996,0.982287032,-0.653420149,-0.328868885
45,1.4137155,0.987688154,-0.629319944,-0.358370138
46,1.4451314,0.992114548,-0.604598678,-0.387517723
47,1.4765473,0.995561847,-0.579280747,-0.416282875
48,1.5079632,0.998026648,-0.553391137,-0.444637207
49,1.5393791,0.99950652,-0.526955397,-0.472552737
50,1.570795,1,-0.499999617,-0.500001915
51,1.6022109,0.999506603,-0.472550398,-0.526957652
52,1.6336268,0.998026815,-0.444634831,-0.553393347
53,1.6650427,0.995562097,-0.416280463,-0.57928291
54,1.6964586,0.992114881,-0.387515277,-0.604600792
55,1.7278745,0.987688569,-0.358367661,-0.629322006
56,1.7592904,0.982287529,-0.328866379,-0.653422157
57,1.7907063,0.975917092,-0.299040547,-0.676877461
58,1.8221222,0.968583544,-0.268919599,-0.699664769
59,1.8535381,0.960294122,-0.23853326,-0.721761593
60,1.884954,0.951057008,-0.207911518,-0.743146128
61,1.9163699,0.940881317,-0.177084592,-0.763797268
62,1.9477858,0.929777092,-0.146082906,-0.783694633
63,1.9792017,0.91775529,-0.114937054,-0.802818588
64,2.0106176,0.904827776,-0.083677773,-0.821150259
65,2.0420335,0.891007307,-0.052335912,-0.838671556
66,2.0734494,0.876307524,-0.020942402,-0.855365186
67,2.1048653,0.860742932,0.010471775,-0.871214675
68,2.1362812,0.844328892,0.041875618,-0.886204382
69,2.1676971,0.827081603,0.073238135,-0.900319514
70,2.199113,0.809018086,0.104528375,-0.913546141
71,2.2305289,0.790156167,0.135715459,-0.92587121
72,2.2619448,0.770514461,0.166768607,-0.937282557
73,2.2933607,0.750112351,0.197657176,-0.947768921
74,2.3247766,0.728969972,0.228350681,-0.957319953
75,2.3561925,0.707108188,0.258818832,-0.965926227
76,2.3876084,0.684548576,0.28903156,-0.97357925
77,2.4190243,0.661313398,0.318959049,-0.98027147
78,2.4504402,0.637425585,0.348571765,-0.985996282
79,2.4818561,0.61290871,0.377840484,-0.990748036
80,2.513272,0.58778697,0.40673632,-0.994522043
81,2.5446879,0.562085156,0.435230757,-0.997314579
82,2.5761038,0.535828632,0.463295675,-0.999122887
83,2.6075197,0.509043312,0.490903376,-0.999945183
84,2.6389356,0.481755627,0.518026616,-0.999780656
85,2.6703515,0.453992509,0.544638627,-0.998629468
86,2.7017674,0.425781356,0.570713146,-0.996492754
87,2.7331833,0.397150009,0.596224442,-0.993372624
88,2.7645992,0.368126724,0.621147337,-0.989272157
89,2.7960151,0.338740142,0.645457235,-0.9841954
90,2.827431,0.309019266,0.669130146,-0.978147362
91,2.8588469,0.278993425,0.692142708,-0.971134012
92,2.8902628,0.248692252,0.714472209,-0.963162272
93,2.9216787,0.21814565,0.736096614,-0.954240008
94,2.9530946,0.187383765,0.756994582,-0.944376027
95,2.9845105,0.156436955,0.777145488,-0.933580062
96,3.0159264,0.125335761,0.796529447,-0.921862768
97,3.0473423,0.094110876,0.815127329,-0.909235708
98,3.0787582,0.062793115,0.832920781,-0.895711343
99,3.1101741,0.031413385,0.849892241,-0.881303022
100,3.14159,2.65359E-06,0.866024962,-0.866024962
